raw_label,position_5,position_3,note
PG,PG,G,direct five-position label
SG,SG,G,direct five-position label
SF,SF,F,direct five-position label
PF,PF,F,direct five-position label
C,C,C,direct five-position label
PG/SG,PG,G,composite; primary = first listed
SG/PG,SG,G,composite; primary = first listed
SG/SF,SG,G,composite; primary = first listed
SF/SG,SF,F,composite; primary = first listed
SF/PF,SF,F,composite; primary = first listed
PF/SF,PF,F,composite; primary = first listed
PF/C,PF,F,composite; primary = first listed
C/PF,C,C,composite; primary = first listed
G,UNKNOWN,G,broad label; cannot resolve PG vs SG without inference
F,UNKNOWN,F,broad label; cannot resolve SF vs PF without inference
G/F,UNKNOWN,G,broad composite; primary G is still unresolved at five-position level
F/C,UNKNOWN,F,broad composite; primary F is still unresolved at five-position level
